"Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you_total","you_sing","you_plur","you_formal","other","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achiev","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","SMOG.de","MSTTR","exp_relate","exp_body","exp_imperson","exp_affect","exp_space","exp_drives","exp_concerns","exp_transc","experiential","epistemic","literariness"
"falke_nebel_1899_de.txt",1,38459,52.73,76.54,5.8,70.69,9.87,21.49,83.15,55.25,18.05,12.03,1.84,0.29,0.81,0.35,0.46,0,8.39,8.23,3.96,4.96,10.48,10.55,7.74,4.68,12,1.9,15.15,7.11,1.85,1.53,0.68,2.69,6.61,4.36,2.26,0.43,0.54,0.87,16.45,0.43,0.29,0.26,2.83,13.86,1.77,1.98,2.73,2.72,3.32,3.98,3.88,1.37,1.4,0.81,3.83,1.61,0.61,0.49,0.47,5.69,1.14,2.67,1.6,0.38,0.37,7.02,3.33,0.64,18.42,2.6,11.09,5.88,1.12,1.68,0.44,0.45,0.72,0.18,1.66,0.09,0.11,0.42,0.05,0.05,24.98,8.24,9.01,0.18,0.19,1.05,0.9,0.61,3.47,0.24,0.08,1.01,6.53716093810565,0.799714285714286,3.81,3.18,5.64,6.2,17.27,6.16,3.69,0.9,41.21,25.77,57.5597142857143
"walser_schlacht_1908_de.txt",1,2427,90.64,68.94,24.38,26.84,23.56,26.78,76.72,49.32,11.29,5.03,0.16,0.04,0.16,0,0.16,0,3.54,3.54,1.94,5.77,11.45,11.45,6.84,4.33,11.99,1.03,13.14,7.95,2.39,1.61,1.32,2.43,7,3.71,3.26,0.49,1.57,0.91,9.72,0.33,0.12,0.21,1.07,11.91,1.19,2.02,1.65,3.21,2.02,3.34,3.63,1.65,1.07,0.62,3.01,1.9,0.33,0.41,0.54,4.94,0.25,2.6,1.9,0.25,0.33,7.99,1.73,0.29,19.65,2.06,11.74,6.84,0.41,1.03,0.12,0.16,0.74,0.82,1.65,0.21,0.25,0.25,0,0.04,20.23,4,11.78,0.49,1.24,0.21,0.21,0.41,0.41,0.04,0.12,1.32,7.71537672412351,0.809631811487482,1.73,3.18,7.09,6.68,17.14,5.33,1.72,1.56,37.34,21.22,71.6296318114875
"andreas_fenitschka_1898_de.txt",1,36415,32.24,68.29,36.7,45.01,15.6,23.09,84.28,57.25,19.21,13.7,4.23,0.55,1.64,1.15,0.49,0,6.82,6.68,3.58,4.53,8.47,11.42,7.33,6.37,12.74,2.13,14.51,7.63,2.35,1.79,0.52,3.2,6.36,3.75,2.61,0.63,0.49,0.97,16.19,0.75,0.28,0.6,1.72,16.52,2.51,2.02,2.55,3.89,3.83,4.81,3.28,1.32,1.19,0.62,3.36,1.4,0.58,0.47,0.26,5.96,1.74,2.54,1.4,0.35,0.42,6.28,3.61,0.54,18.49,2.08,11.06,6.58,1.15,0.79,0.42,0.33,0.43,0.14,1.94,0.04,0.08,0.59,0.1,0.05,19.43,4.74,10.41,0.39,0.17,0.85,0.87,0.02,1.88,0.1,0,0.01,6.78090174789344,0.795410447761194,3.35,2.71,5.05,5.84,16.27,6.45,2.69,0.57,37.88,31.31,59.5054104477612
"meyer_pescara_1887_de.txt",1,37499,71.41,78.13,7.4,37.47,14.27,27.15,78.72,53.52,17.76,13.02,3.11,0.43,2.39,1.41,0.98,0,6.5,6.46,2.13,4.03,12.07,9.64,6.88,2.81,11.64,1.69,13.93,5.48,1.76,1.36,0.55,1.45,6.26,3.55,2.67,0.49,0.84,0.93,16.03,0.53,0.21,0.22,2.6,11.78,1.88,1.65,1.82,1.94,2.73,3.9,2.63,0.91,1.18,0.41,3.23,1.63,0.44,0.34,0.17,6.43,1.24,2.29,2.62,0.49,0.37,4.94,4.3,0.63,15.02,2.13,9.17,4.7,1.47,0.64,0.16,0.59,1.23,0.35,0.69,0.04,0.06,0.08,0.05,0.01,23.17,5.57,9.83,0.66,0.07,0.79,1.01,0.73,4.43,0.08,0,0.01,5.18591986313139,0.789724950884086,3.56,2.58,4.58,5.81,13.8,7.01,2.86,1.58,37.2,19.87,65.4597249508841
"musil_haus_1908_de.txt",1,6278,37.88,83.08,5.57,29.7,25.94,20.2,85.78,59.68,20.25,13.2,0.49,0.02,1.15,0.05,1.1,0,10.42,10.31,7.01,6.37,9.94,11.79,6.85,5.26,14.26,1.7,13.97,9.22,4.03,3.12,0.16,3.3,4.87,2.72,2.15,0.51,0.43,0.72,18.09,0.21,0.13,0.21,1.27,15.72,2.09,3.03,2.2,3.79,3.31,4.44,4.83,1.8,1.35,1.53,3.93,2.21,0.92,0.72,0.24,6.15,0.72,4.16,1.05,0.16,0.22,8.49,1.35,0.54,20.44,2.87,12.58,6.4,0.32,0.59,0.72,0.13,0.4,0.27,0.61,0,0.03,0.08,0.02,0,16.47,4.71,9.88,0.18,0.96,0.19,0.13,0.02,0.41,0,0,0,5.55779909119075,0.799170068027211,1.82,4.09,6.53,4.38,20.13,6.31,1.76,0.67,39.16,29.12,63.4891700680272
"schnitzler_else_1924_de.txt",1,14857,4.16,43.4,38.98,59.63,7.06,16.58,87.48,60.04,20.85,14.66,7.51,0.46,1.08,0.78,0.3,0,5.23,5.01,2.61,5.08,7.34,8.25,12.79,5.45,11.85,3.5,18.91,6.28,1.86,2.58,1.19,2.88,5.9,3.77,2.1,0.46,0.55,0.85,15.58,1.44,0.26,0.85,2.86,17.26,2.02,2.27,3.92,3.72,4.98,5.38,2.69,1.22,0.88,0.4,4.25,1.32,0.37,0.6,0.3,6.16,1.38,2.19,2.3,0.32,0.39,1.91,9.15,1.5,15.12,1.9,8.5,5.88,0.91,1.14,0.57,0.66,1.24,0.45,3.67,0.18,0.44,1.23,0.23,0.04,25.63,11.81,7.84,0.09,0.07,2.58,0.81,0.06,1.59,0.79,0,0,6.02351748577734,0.782196721311475,5.41,2.59,6.27,5.63,12.9,6.58,3.28,1.69,38.08,34.12,51.2821967213115
"dery_liebe_1896_de.txt",1,3578,41.93,92.1,39.72,93.76,8.32,19.54,82.34,54.67,19.4,13.78,3.24,4.36,3.88,3.72,0.17,0,1.79,1.76,0.67,4.5,9.53,9.33,6.43,3.49,13.3,1.93,13.05,7.99,2.82,2.57,0.5,2.38,8.66,5.98,2.49,0.64,0.75,0.95,16.41,0.06,0.31,0.03,0.7,11.99,1.82,2.88,1.17,1.9,3.88,2.77,4.97,1.96,1.57,1.03,5.14,2.12,0.78,0.89,0.48,10.76,5.45,3.44,1.48,0.64,0.36,0.89,7.46,0.48,16.29,2.15,10.34,4.44,0.61,1.29,0.11,0.59,1.84,0.53,1.73,0.11,0.28,0.31,0.14,0,23.39,7.18,7.91,0.59,0,1.57,3.27,0,0.75,0.11,0,2.01,6.46946992283678,0.789615384615385,1.1,4.27,5,8.32,17.05,11.37,2.6,2.37,47.08,22.22,52.3496153846154
"schubin_etiquette_1887_de.txt",1,14012,89.16,79,11.36,29.47,18.86,26.56,78.1,51.41,15.19,10.55,1.33,0.19,1.45,0.98,0.47,0,6.7,6.56,3.15,4.03,12.43,11.57,6.67,3.79,10.11,1.53,12.48,7.55,1.9,1.41,0.54,2.13,7.27,3.93,3.36,0.5,0.7,1.43,15.17,0.41,0.28,0.66,1.77,12.06,1.56,1.6,1.83,2.31,2.88,3.75,2.62,0.85,0.99,0.59,4.15,1.81,0.73,0.72,0.14,6.18,1.15,2.33,2.58,0.42,0.34,2.88,4.77,0.6,18.51,1.83,11.39,6.49,1.08,0.71,0.28,0.42,1.11,0.5,1.38,0.06,0.1,0.26,0.22,0.01,19.47,4.49,10.06,0.26,0.31,0.47,1.18,0.23,1.57,0.9,0,0,5.67860918142335,0.781773648648649,3.12,3.4,4.57,6.56,15.65,6.82,2.49,1.61,39.65,21.38,65.9317736486486
"mann_zauberberg_1924_de.txt",1,267069,72.81,74.34,9.18,44.66,21.66,28.13,79.98,53.4,14.79,9.15,1.11,0.33,0.46,0.24,0.21,0,6.22,6.08,2.27,4.52,10.8,11.52,7.52,4.34,12.77,1.59,13.95,6.42,2.06,1.32,0.66,2.13,5.43,3.27,2.14,0.36,0.48,0.76,14.65,0.56,0.23,0.28,2.36,13.78,2.08,1.89,2.13,2.84,3.07,4.25,2.99,1.02,1.1,0.57,3.54,1.69,0.73,0.33,0.42,5.9,1.04,2.72,1.88,0.39,0.39,6.12,2.65,0.55,16.96,1.94,10.38,5.54,1.85,0.83,0.29,0.45,0.77,0.25,1.4,0.06,0.09,0.33,0.04,0.04,20.72,4.3,11.48,0.31,0.28,0.38,0.47,1.28,2.05,0.08,0.09,0.01,6.5600430070874,0.774673684210526,3.43,3.17,5.18,4.87,15.01,6.42,3.42,1.02,37.34,24.32,71.6146736842105
"hesse_knulp_1915_de.txt",1,25674,23.76,69.96,27.58,64.41,20.17,18.69,86.45,58.02,16.82,11.41,3.17,0.53,1.83,1.27,0.56,0,5.8,5.74,1.93,4.53,9.38,9.63,9.45,5.26,15.31,2.24,17.52,7.62,2.02,1.28,0.65,2.84,5.88,3.85,2,0.34,0.27,0.92,15.03,0.42,0.52,0.28,2.48,14.96,2.01,1.99,3.09,3.28,3.64,4.58,3.83,1.6,1.39,0.59,3.84,1.42,0.79,0.42,0.59,5.32,1.25,2.45,1.37,0.32,0.37,8.08,4.65,0.72,18.69,2.44,9.98,7.6,1.27,1.25,0.67,0.37,0.47,0.23,2.2,0.14,0.09,0.52,0.09,0.09,20.99,5.48,9.32,0.26,0.12,0.71,0.41,0.3,3.69,0.42,0,0.27,9.2294493689689,0.798905325443787,3.7,3.22,5.18,5.38,16,5.76,3.56,0.7,38.32,28.93,61.1689053254438
