Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you_total,you_sing,you_plur,you_formal,other,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
spyri_heidibrauchen_1881.txt,1,37321,44.24,76.86,35.34,86.51,23.89,16.39,85.20,57.85,15.39,8.50,1.20,0.36,1.19,0.96,0.24,0.00,5.34,5.26,1.90,4.95,11.71,10.04,8.87,5.44,15.62,1.61,16.76,7.46,2.00,1.52,0.45,3.25,5.55,4.21,1.32,0.32,0.27,0.52,14.58,0.71,0.23,0.18,2.54,14.63,1.63,1.93,3.07,2.74,4.10,4.10,3.38,1.32,1.33,0.48,2.49,1.03,0.45,0.21,0.43,6.12,1.29,2.78,1.85,0.37,0.24,8.51,3.82,0.67,22.04,2.98,11.83,8.67,1.11,0.80,0.43,0.29,0.70,0.04,2.09,0.01,0.07,0.39,0.12,0.01,18.10,4.18,9.14,0.44,0.36,0.39,0.55,0.06,2.73,0.23,0.00,0.02
andreas_fenitschka_1898.txt,1,36415,32.24,68.29,36.70,45.01,15.60,23.09,84.28,57.25,19.21,13.70,4.23,0.55,1.64,1.15,0.49,0.00,6.82,6.68,3.58,4.53,8.47,11.42,7.33,6.37,12.74,2.13,14.51,7.63,2.35,1.79,0.52,3.20,6.36,3.75,2.61,0.63,0.49,0.97,16.19,0.75,0.28,0.60,1.72,16.52,2.51,2.02,2.55,3.89,3.83,4.81,3.28,1.32,1.19,0.62,3.36,1.40,0.58,0.47,0.26,5.96,1.74,2.54,1.40,0.35,0.42,6.28,3.61,0.54,18.49,2.08,11.06,6.58,1.15,0.79,0.42,0.33,0.43,0.14,1.94,0.04,0.08,0.59,0.10,0.05,19.43,4.74,10.41,0.39,0.17,0.85,0.87,0.02,1.88,0.10,0.00,0.01
achleitner_celsissimus_1901.txt,1,68218,97.33,70.38,15.69,37.95,17.48,29.43,74.64,47.66,10.43,6.06,1.86,0.23,0.81,0.24,0.57,0.00,2.62,2.59,0.76,3.38,12.82,11.33,6.71,3.02,9.83,1.41,13.25,5.59,1.58,1.09,0.65,1.63,6.46,3.64,2.75,0.60,0.78,0.89,11.00,0.71,0.26,0.39,1.45,11.28,1.86,1.46,1.92,1.84,2.75,2.70,2.48,0.65,1.06,0.54,2.82,1.18,0.69,0.28,0.37,6.70,1.33,2.31,2.58,0.51,0.62,5.15,3.08,0.97,15.79,2.27,9.53,5.07,1.95,0.63,0.35,0.74,1.72,0.29,1.13,0.04,0.12,0.15,0.02,0.02,19.58,3.36,8.37,0.53,0.29,0.45,2.18,0.41,3.00,0.75,0.08,0.16
may_kurdistan_1892.txt,1,149365,30.23,79.46,36.05,41.61,10.36,19.56,84.74,58.98,20.96,14.80,4.78,1.53,3.40,2.66,0.74,0.00,4.92,4.77,1.71,5.20,9.88,9.65,9.48,4.35,11.24,1.88,18.24,4.91,1.52,1.89,0.66,2.25,4.63,2.80,1.77,0.29,0.58,0.53,16.91,0.49,0.24,0.13,2.18,13.49,2.06,1.71,2.79,2.52,3.12,4.27,2.60,0.92,1.17,0.28,2.80,0.95,0.35,0.21,0.39,7.06,2.22,2.20,2.20,0.45,0.58,6.39,5.70,1.26,17.18,3.02,10.18,5.26,1.21,0.89,0.44,0.51,0.84,0.37,1.57,0.04,0.14,0.47,0.08,0.02,23.68,6.04,7.92,0.26,0.79,1.69,2.11,0.15,4.65,0.05,0.01,0.00
doeblin_butterblume_1913.txt,1,31746,94.27,82.84,11.92,13.33,17.85,22.93,81.77,52.45,16.88,12.47,1.56,0.04,0.90,0.30,0.60,0.00,9.08,8.97,4.57,3.49,12.63,13.28,5.66,3.26,9.34,1.10,13.71,6.50,1.57,1.05,0.74,1.71,5.59,2.66,2.90,0.56,0.70,1.10,16.52,0.62,0.24,0.82,2.62,9.73,1.39,1.23,1.51,1.85,2.15,2.78,3.92,1.39,1.20,1.00,5.04,3.30,0.66,0.68,0.63,5.20,0.77,2.30,2.00,0.27,0.27,7.51,1.95,0.56,21.65,3.73,13.30,6.13,1.20,1.24,0.81,0.46,0.61,0.38,0.87,0.03,0.09,0.09,0.07,0.03,17.90,5.69,9.24,0.29,1.35,0.14,0.06,0.33,0.74,0.02,0.00,0.03
wassermann_spiegel_1911.txt,1,78549,86.76,79.04,6.77,16.79,23.59,26.77,80.43,53.34,15.67,10.49,1.49,0.37,0.79,0.33,0.45,0.00,7.00,6.89,2.52,4.24,12.65,11.52,6.93,3.34,11.22,1.34,14.11,5.69,2.03,1.41,0.70,1.91,6.12,3.03,3.07,0.57,0.76,1.03,15.32,0.62,0.36,0.36,2.66,11.87,1.91,1.71,1.84,2.12,2.59,3.40,3.03,1.25,1.06,0.49,3.13,1.58,0.59,0.35,0.33,6.20,1.21,2.83,1.81,0.42,0.47,7.09,2.59,0.59,17.35,2.34,10.37,5.66,1.47,0.95,0.45,0.62,0.71,0.37,0.93,0.05,0.08,0.11,0.02,0.02,18.40,4.29,10.44,0.22,0.77,0.30,0.16,0.32,1.80,0.08,0.00,0.02
musil_mann.txt,1,19092,68.33,72.73,11.31,64.07,31.45,27.83,84.23,56.09,15.41,7.96,0.09,0.11,0.38,0.07,0.31,0.00,6.42,6.31,2.49,6.52,12.26,11.21,8.16,4.76,13.31,1.65,14.72,7.82,2.88,1.74,0.78,2.58,5.86,3.84,2.01,0.34,0.55,0.63,14.47,0.72,0.25,0.29,2.07,16.90,2.54,2.18,2.76,3.58,3.38,5.31,2.28,0.79,0.62,0.63,3.05,1.13,0.69,0.44,0.32,7.38,1.04,3.78,2.20,0.63,0.50,6.53,3.11,0.81,17.87,1.94,10.47,6.47,2.30,0.92,0.37,0.54,0.71,0.19,1.09,0.03,0.08,0.26,0.02,0.01,15.38,3.09,10.30,0.17,0.79,0.14,0.16,0.19,0.50,0.00,0.02,0.01
musil_toerless.txt,1,51326,40.83,74.17,26.03,19.49,17.51,24.27,85.23,58.01,18.68,11.55,1.60,0.42,1.24,1.05,0.19,0.00,6.97,6.81,1.57,6.13,10.02,11.38,8.06,6.28,12.44,1.87,15.38,7.52,2.58,1.95,0.56,2.98,5.86,2.98,2.87,0.79,0.69,0.93,15.57,0.28,0.16,0.14,2.60,17.34,2.94,2.23,2.66,3.56,3.80,5.04,3.51,1.30,1.02,0.95,2.95,1.48,0.63,0.37,0.19,6.08,0.95,3.25,1.50,0.34,0.46,7.11,3.43,0.72,19.28,2.30,11.09,7.16,1.48,0.64,0.29,0.43,0.48,0.16,1.56,0.04,0.09,0.37,0.04,0.02,22.25,7.10,8.66,0.28,0.64,0.74,0.36,1.60,2.11,0.06,0.01,0.67
altenberg_prodromos_1906.txt,1,31465,75.81,75.44,16.18,67.53,13.09,27.63,80.73,51.14,16.49,10.83,3.22,0.64,1.91,1.44,0.48,0.00,4.80,4.67,2.40,4.84,10.65,10.17,7.15,3.89,9.68,1.51,13.55,7.08,1.92,1.28,1.12,2.25,7.76,4.83,2.86,0.45,0.67,1.16,14.78,0.79,0.33,0.75,1.39,13.70,2.03,2.14,2.20,2.26,3.35,3.69,3.16,0.83,1.01,0.85,5.56,1.82,1.13,0.44,1.04,7.07,1.50,3.46,2.12,0.75,0.37,2.90,5.50,1.12,15.73,1.76,9.33,5.64,1.98,1.24,0.22,0.75,1.20,0.40,1.19,0.09,0.12,0.14,0.04,0.03,24.57,4.94,8.35,0.70,0.17,1.25,4.31,2.26,2.26,0.23,0.11,0.00
bonsels_indien_1916.txt,1,67648,88.10,59.97,62.46,39.56,29.00,26.12,82.05,54.49,16.44,11.21,4.44,0.81,0.70,0.46,0.24,0.00,4.63,4.52,1.68,4.46,12.37,12.68,6.09,3.63,11.31,1.36,12.88,7.48,2.62,1.27,0.58,1.95,6.39,3.67,2.72,0.51,0.66,0.88,11.87,0.24,0.17,0.16,1.26,13.55,2.76,1.70,1.97,2.81,2.48,4.07,3.37,1.55,0.92,0.64,3.07,1.47,0.53,0.29,0.32,6.85,1.31,3.01,2.16,0.49,0.58,6.10,2.32,0.68,19.10,2.21,11.76,6.24,1.52,0.94,0.32,0.44,0.75,0.40,0.79,0.02,0.04,0.06,0.02,0.01,16.07,3.65,10.14,0.15,0.15,0.23,0.06,0.12,1.37,0.01,0.00,0.19
