"source","target","weight"
"spyri_heidibrauchen_1881.txt","walser_geschwister_1907.txt",10
"spyri_heidibrauchen_1881.txt","fontane_irrungen_1888.txt",9
"spyri_heidibrauchen_1881.txt","goethe_werther.txt",8
"spyri_heidibrauchen_1881.txt","spyri_heidilehr_1880.txt",7
"spyri_heidibrauchen_1881.txt","walser_prosastücke_1917.txt",6
"spyri_heidibrauchen_1881.txt","goethe_wander.txt",5
"spyri_heidibrauchen_1881.txt","fontane_stechlin_1899.txt",4
"spyri_heidibrauchen_1881.txt","goethe_wahlverwandtschaften.txt",3
"spyri_heidibrauchen_1881.txt","goethe_lehr.txt",2
"spyri_heidibrauchen_1881.txt","hesse_knulp_1915.txt",1
"andreas_fenitschka_1898.txt","reventlow_dames_1913.txt",10
"andreas_fenitschka_1898.txt","may_kurdistan_1892.txt",9
"andreas_fenitschka_1898.txt","dostoevskij_idiot.txt",8
"andreas_fenitschka_1898.txt","kafka_urteil_1913.txt",7
"andreas_fenitschka_1898.txt","may_wuste_1892.txt",6
"andreas_fenitschka_1898.txt","may_winnetou_1893.txt",5
"andreas_fenitschka_1898.txt","spyri_heidilehr_1880.txt",4
"andreas_fenitschka_1898.txt","fontane_briest_1896.txt",3
"andreas_fenitschka_1898.txt","kafka_prozess_1925.txt",2
"andreas_fenitschka_1898.txt","hesse_knulp_1915.txt",1
"achleitner_celsissimus_1901.txt","achleitner_bergrichters_1900.txt",10
"achleitner_celsissimus_1901.txt","lasswitz_planeten02_1897.txt",9
"achleitner_celsissimus_1901.txt","raabe_odfeld_1889.txt",8
"achleitner_celsissimus_1901.txt","mann_venedig_1913.txt",7
"achleitner_celsissimus_1901.txt","achleitner_tann_1897.txt",6
"achleitner_celsissimus_1901.txt","schubin_etiquette_1887.txt",5
"achleitner_celsissimus_1901.txt","walser_Schlacht_1908.txt",4
"achleitner_celsissimus_1901.txt","strindberg_inselbauern_1918.txt",3
"achleitner_celsissimus_1901.txt","eschstruth_katz_1886.txt",2
"achleitner_celsissimus_1901.txt","schubin_vollmondzauber02_1899.txt",1
"may_kurdistan_1892.txt","may_wuste_1892.txt",10
"may_kurdistan_1892.txt","andreas_fenitschka_1898.txt",9
"may_kurdistan_1892.txt","kafka_urteil_1913.txt",8
"may_kurdistan_1892.txt","may_winnetou_1893.txt",7
"may_kurdistan_1892.txt","dostoevskij_idiot.txt",6
"may_kurdistan_1892.txt","conradi_adam_1889.txt",5
"may_kurdistan_1892.txt","reventlow_dames_1913.txt",4
"may_kurdistan_1892.txt","goethe_faust1.txt",3
"may_kurdistan_1892.txt","kafka_schloss_1925.txt",2
"may_kurdistan_1892.txt","kafka_prozess_1925.txt",1
"doeblin_butterblume_1913.txt","grillparzer_kloster_1827.txt",10
"doeblin_butterblume_1913.txt","flaubert_legende_1877.txt",9
"doeblin_butterblume_1913.txt","hauptmann_bahnwaerter_1892.txt",8
"doeblin_butterblume_1913.txt","flaubert_salambo_1863.txt",7
"doeblin_butterblume_1913.txt","flaubert_schlichtes_1877.txt",6
"doeblin_butterblume_1913.txt","wassermann_spiegel_1911.txt",5
"doeblin_butterblume_1913.txt","flaubert_herodias_1877.txt",4
"doeblin_butterblume_1913.txt","meyer_borgia_1891.txt",3
"doeblin_butterblume_1913.txt","meyer_monchs_1884.txt",2
"doeblin_butterblume_1913.txt","einstein_bebuquin_1912.txt",1
"wassermann_spiegel_1911.txt","meyer_borgia_1891.txt",10
"wassermann_spiegel_1911.txt","grillparzer_kloster_1827.txt",9
"wassermann_spiegel_1911.txt","hauptmann_bahnwaerter_1892.txt",8
"wassermann_spiegel_1911.txt","meyer_monchs_1884.txt",7
"wassermann_spiegel_1911.txt","doeblin_butterblume_1913.txt",6
