Source,Target,Weight,Type
achleitner_bergrichters_1900_de,achleitner_celsissimus_1901_de,119,undirected
achleitner_bergrichters_1900_de,achleitner_tann_1897_de,77,undirected
achleitner_bergrichters_1900_de,eschstruth_katz_1886_de,4,undirected
achleitner_bergrichters_1900_de,heiberg_charaktere_1901_de,1,undirected
achleitner_bergrichters_1900_de,heiberg_grevinde_1898_de,10,undirected
achleitner_bergrichters_1900_de,heiberg_todsunden_1891_de,1,undirected
achleitner_bergrichters_1900_de,kafka_kuebelreiter_1917_de,4,undirected
achleitner_bergrichters_1900_de,lasswitz_planeten01_1897_de,2,undirected
achleitner_bergrichters_1900_de,lasswitz_seife_1890_de,8,undirected
achleitner_celsissimus_1901_de,achleitner_bergrichters_1900_de,119,undirected
achleitner_celsissimus_1901_de,achleitner_tann_1897_de,82,undirected
achleitner_celsissimus_1901_de,eschstruth_katz_1886_de,31,undirected
achleitner_celsissimus_1901_de,heiberg_grevinde_1898_de,2,undirected
achleitner_celsissimus_1901_de,hoffmann_nacht_1817_de,2,undirected
achleitner_celsissimus_1901_de,hoffmann_zaches_1819_de,7,undirected
achleitner_celsissimus_1901_de,lasswitz_planeten02_1897_de,5,undirected
achleitner_celsissimus_1901_de,meyer_pescara_1887_de,4,undirected
achleitner_tann_1897_de,achleitner_bergrichters_1900_de,77,undirected
achleitner_tann_1897_de,achleitner_celsissimus_1901_de,82,undirected
achleitner_tann_1897_de,eschstruth_katz_1886_de,102,undirected
achleitner_tann_1897_de,kafka_kuebelreiter_1917_de,52,undirected
achleitner_tann_1897_de,raabe_odfeld_1889_de,20,undirected
achleitner_tann_1897_de,schubin_etiquette_1887_de,34,undirected
akunian_bittersuess_1891_de,akunian_fluegel_1895_de,118,undirected
akunian_bittersuess_1891_de,dickens_twist_1838_en,26,undirected
akunian_bittersuess_1891_de,eschstruth_katz_1886_de,9,undirected
akunian_bittersuess_1891_de,falke_nebel_1899_de,9,undirected
akunian_bittersuess_1891_de,hesse_knulp_1915_de,41,undirected
akunian_bittersuess_1891_de,holz_hamlet_1889_de,6,undirected
akunian_bittersuess_1891_de,keyserling_beatemareile_1903_de,4,undirected
akunian_bittersuess_1891_de,sapper_dummerle_1905_de,6,undirected
akunian_bittersuess_1891_de,schnitzler_tanzerin_1905_de,14,undirected
akunian_bittersuess_1891_de,storm_riew_1885_de,31,undirected
akunian_fluegel_1895_de,akunian_bittersuess_1891_de,118,undirected
akunian_fluegel_1895_de,andreas_fenitschka_1898_de,60,undirected
akunian_fluegel_1895_de,bierbaum_stilpe_1897_de,3,undirected
akunian_fluegel_1895_de,bonsels_maja_1912_de,1,undirected
akunian_fluegel_1895_de,conradi_adam_1889_de,47,undirected
akunian_fluegel_1895_de,dostoevskij_verbrechen_1882_ru,2,undirected
akunian_fluegel_1895_de,falke_durchschnitt_1892_de,5,undirected
akunian_fluegel_1895_de,falke_nebel_1899_de,6,undirected
akunian_fluegel_1895_de,fontane_briest_1896_de,38,undirected
akunian_fluegel_1895_de,fontane_irrungen_1888_de,8,undirected
akunian_fluegel_1895_de,hesse_knulp_1915_de,2,undirected
akunian_fluegel_1895_de,holz_hamlet_1889_de,4,undirected
akunian_fluegel_1895_de,sapper_vater_1915_de,1,undirected
akunian_fluegel_1895_de,schnitzler_else_1924_de,53,undirected
akunian_fluegel_1895_de,sturza_geluebde_1905_de,8,undirected
akunian_fluegel_1895_de,walser_jakob_1909_de,7,undirected
altenberg_prodromos_1906_de,brodkafka_samuel_1912_de,7,undirected
altenberg_prodromos_1906_de,dery_liebe_1896_de,53,undirected
altenberg_prodromos_1906_de,einstein_bebuquin_1912_de,56,undirected
altenberg_prodromos_1906_de,goethe_werther_1787_de,12,undirected
altenberg_prodromos_1906_de,lasswitz_seife_1890_de,41,undirected
altenberg_prodromos_1906_de,sturza_geluebde_1905_de,60,undirected
altenberg_prodromos_1906_de,walser_jakob_1909_de,1,undirected
altenberg_prodromos_1906_de,walser_spaziergang_1917_de,4,undirected
andreas_fenitschka_1898_de,akunian_fluegel_1895_de,60,undirected
andreas_fenitschka_1898_de,bonsels_maja_1912_de,1,undirected
andreas_fenitschka_1898_de,brod_stunde_1916_de,1,undirected
andreas_fenitschka_1898_de,conradi_adam_1889_de,41,undirected
andreas_fenitschka_1898_de,dickens_copperfield_1850_en,6,undirected
andreas_fenitschka_1898_de,dostoevskij_idiot_1889_ru,6,undirected
andreas_fenitschka_1898_de,reventlow_dames_1913_de,11,undirected
andreas_fenitschka_1898_de,schubin_vollmondzauber01_1899_de,5,undirected
andreas_fenitschka_1898_de,tolstoy_romanehe_1921_ru,14,undirected
andreas_fenitschka_1898_de,walser_jakob_1909_de,4,undirected
bierbaum_stilpe_1897_de,akunian_fluegel_1895_de,3,undirected
bierbaum_stilpe_1897_de,brod_beer_1912_de,3,undirected
bierbaum_stilpe_1897_de,conradi_adam_1889_de,30,undirected
bierbaum_stilpe_1897_de,fontane_briest_1896_de,8,undirected
bierbaum_stilpe_1897_de,fontane_stechlin_1899_de,60,undirected
bierbaum_stilpe_1897_de,schnitzler_else_1924_de,36,undirected
bierbaum_stilpe_1897_de,walser_jakob_1909_de,13,undirected
bonsels_himmelsvolk_1915_de,bonsels_indien_1916_de,100,undirected
bonsels_himmelsvolk_1915_de,bonsels_maja_1912_de,118,undirected
bonsels_himmelsvolk_1915_de,dery_liebe_1896_de,5,undirected
bonsels_himmelsvolk_1915_de,einstein_bebuquin_1912_de,1,undirected
bonsels_himmelsvolk_1915_de,flaubert_herodias_1877_fra,1,undirected
bonsels_himmelsvolk_1915_de,flaubert_november_1842_fra,5,undirected
bonsels_himmelsvolk_1915_de,goethe_werther_1787_de,2,undirected
bonsels_himmelsvolk_1915_de,hoffmann_topf_1819_de,1,undirected
bonsels_himmelsvolk_1915_de,lasswitz_seife_1890_de,1,undirected
bonsels_himmelsvolk_1915_de,walser_kleine_1914_de,10,undirected
bonsels_himmelsvolk_1915_de,wassermann_spiegel_1911_de,1,undirected
bonsels_indien_1916_de,bonsels_himmelsvolk_1915_de,100,undirected
bonsels_indien_1916_de,bonsels_maja_1912_de,51,undirected
bonsels_indien_1916_de,flaubert_november_1842_fra,27,undirected
bonsels_indien_1916_de,hagenauer_muspilli_1900_de,38,undirected
bonsels_indien_1916_de,mann_venedig_1913_de,29,undirected
bonsels_indien_1916_de,meyer_borgia_1891_de,1,undirected
bonsels_indien_1916_de,wassermann_spiegel_1911_de,19,undirected
bonsels_maja_1912_de,akunian_fluegel_1895_de,1,undirected
bonsels_maja_1912_de,andreas_fenitschka_1898_de,1,undirected
bonsels_maja_1912_de,bonsels_himmelsvolk_1915_de,118,undirected
bonsels_maja_1912_de,bonsels_indien_1916_de,51,undirected
bonsels_maja_1912_de,keyserling_beatemareile_1903_de,26,undirected
bonsels_maja_1912_de,musil_haus_1908_de,2,undirected
bonsels_maja_1912_de,preuschen_yoshiwara_1920_de,1,undirected
bonsels_maja_1912_de,sapper_dummerle_1905_de,2,undirected
brod_beer_1912_de,bierbaum_stilpe_1897_de,3,undirected
brod_beer_1912_de,falke_durchschnitt_1892_de,3,undirected
brod_beer_1912_de,hagenauer_muspilli_1900_de,2,undirected
brod_beer_1912_de,hesse_rad_1906_de,38,undirected
brod_beer_1912_de,kafka_verwandlung_1915_de,13,undirected
brod_beer_1912_de,musil_mann1_1930_de,1,undirected
brod_beer_1912_de,musil_toerless_1906_de,59,undirected
brod_beer_1912_de,polenz_buettnerbauer_1895_de,8,undirected
brod_beer_1912_de,schnitzler_traumnovelle_1926_de,3,undirected
brod_stunde_1916_de,andreas_fenitschka_1898_de,1,undirected
brod_stunde_1916_de,brodkafka_samuel_1912_de,4,undirected
brod_stunde_1916_de,dostoevskij_idiot_1889_ru,13,undirected
brod_stunde_1916_de,einstein_bebuquin_1912_de,3,undirected
brod_stunde_1916_de,kafka_bau_1928_de,5,undirected
brod_stunde_1916_de,kafka_hungerkünstler_1924_de,22,undirected
brod_stunde_1916_de,lasswitz_seife_1890_de,2,undirected
brod_stunde_1916_de,musil_mann1_1930_de,10,undirected
brod_stunde_1916_de,musil_mann2_1930_de,5,undirected
brod_stunde_1916_de,musil_mann3_1930_de,56,undirected
brod_stunde_1916_de,walser_jakob_1909_de,3,undirected
